fp_bit,functional_groups
fp_1180,其他
fp_1181,其他
fp_1182,酰胺
fp_1183,其他
fp_1184,其他
fp_1185,其他
fp_1186,其他
fp_1187,其他
fp_1188,其他
fp_1189,其他
fp_1190,其他
fp_1191,其他
fp_1192,其他
fp_1193,其他
fp_1194,其他
fp_1195,其他
fp_1196,其他
fp_1197,其他
fp_1198,其他
fp_1199,末端烯烃或亚甲基
fp_1200,其他
fp_1201,其他
fp_1202,其他
fp_1203,其他
fp_1204,其他
fp_1205,其他
fp_1206,其他
fp_1207,其他
fp_1208,其他
fp_1209,其他
fp_1210,其他
fp_1211,其他
fp_1212,其他
fp_1213,其他
fp_1214,其他
fp_1215,其他
fp_1216,其他
fp_1217,其他
fp_1218,其他
fp_1219,其他
fp_1220,其他
fp_1221,其他
fp_1222,其他
fp_1223,其他
fp_1224,其他
fp_1225,其他
fp_1226,其他
fp_1227,其他
fp_1228,其他
fp_1229,其他
fp_1230,其他
fp_1231,铅中心
fp_1232,甲基
fp_1233,其他
fp_1234,其他
fp_1235,其他
fp_1236,其他
fp_1237,其他
fp_1238,其他
fp_1239,其他
fp_1240,其他
fp_1241,其他
fp_1242,其他
fp_1243,甲基
fp_1244,其他
fp_1245,其他
fp_1246,其他
fp_1247,含硫基团
fp_1248,其他
fp_1249,其他
fp_1250,其他
fp_1251,其他
fp_1252,其他
fp_1253,其他
fp_1254,含硫基团
fp_1255,其他
fp_1256,含硫基团
fp_1257,其他
fp_1258,其他
fp_1259,其他
fp_1260,其他
fp_1261,其他
fp_1262,其他
fp_1263,其他
fp_1264,其他
fp_1265,其他
fp_1266,其他
fp_1267,甲基
fp_1268,其他
fp_1269,其他
fp_1270,其他
fp_1271,其他
fp_1272,其他
fp_1273,其他
fp_1274,甲基
fp_1275,其他
fp_1276,其他
fp_1277,其他
fp_1278,其他
fp_1279,其他
fp_1280,其他
fp_1281,其他
fp_1282,其他
fp_1283,其他
fp_1284,其他
fp_1285,其他
fp_1286,其他
fp_1287,羧基
fp_1288,其他
fp_1289,其他
fp_1290,其他
fp_1291,其他
fp_1292,甲基
fp_1293,其他
fp_1294,其他
fp_1295,其他
fp_1296,其他
fp_1297,胺基
fp_1298,其他
fp_1299,其他
fp_1300,其他
fp_1301,氮自由基
fp_1302,其他
fp_1303,其他
fp_1304,其他
fp_1305,其他
fp_1306,其他
fp_1307,其他
fp_1308,其他
fp_1309,甲基
fp_1310,其他
fp_1311,其他
fp_1312,其他
fp_1313,其他
fp_1314,其他
fp_1315,其他
fp_1316,其他
fp_1317,其他
fp_1318,其他
fp_1319,其他
fp_1320,其他
fp_1321,其他
fp_1322,其他
fp_1323,其他
fp_1324,其他
fp_1325,其他
fp_1326,其他
fp_1327,其他
fp_1328,其他
fp_1329,其他
fp_1330,甲基
fp_1331,其他
fp_1332,其他
fp_1333,其他
fp_1334,其他
fp_1335,其他
fp_1336,其他
fp_1337,其他
fp_1338,其他
fp_1339,其他
fp_1340,其他
fp_1341,其他
fp_1342,其他
fp_1343,其他
fp_1344,其他
fp_1345,其他
fp_1346,其他
fp_1347,其他
fp_1348,其他
fp_1349,其他
fp_1350,其他
fp_1351,其他
fp_1352,其他
fp_1353,其他
fp_1354,其他
fp_1355,其他
fp_1356,其他
fp_1357,其他
fp_1358,其他
fp_1359,其他
fp_1360,其他
fp_1361,其他
fp_1362,其他
fp_1363,其他
fp_1364,其他
fp_1365,其他
fp_1366,胺基
fp_1367,其他
fp_1368,其他
fp_1369,其他
fp_1370,其他
fp_1371,其他
fp_1372,其他
fp_1373,其他
fp_1374,其他
fp_1375,其他
fp_1376,其他
fp_1377,其他
fp_1378,其他
fp_1379,其他
fp_1380,其他
fp_1381,胺基
fp_1382,其他
fp_1383,其他
fp_1384,胺基
fp_1385,其他
fp_1386,其他
fp_1387,其他
fp_1388,其他
fp_1389,其他
fp_1390,烯烃
fp_1391,其他
fp_1392,其他
fp_1393,其他
fp_1394,其他
fp_1395,其他
fp_1396,其他
fp_1397,其他
fp_1398,其他
fp_1399,胺基
