raw_name,importance
Perovskite_composition_long_form_Cs0.17FA0.83MAPbBr0.519I2.49,0.0
ETL_deposition_reaction_solutions_compounds_Acetylacetone; Titanium isopropoxide | TiO2 paste NR30-D,0.0
Perovskite_composition_long_form_(PBA)2MA3Pb4I13,0.0
Perovskite_composition_long_form_(F5PEA)xCs0.15FA0.64MA0.2PbBr0.6I2.4,0.0
ETL_deposition_thermal_annealing_temperature_500 | 500,0.0
ETL_deposition_thermal_annealing_temperature_450 | 450 >> 500,0.0
ETL_deposition_thermal_annealing_temperature_25 | 25,0.0
ETL_deposition_thermal_annealing_temperature_25 >> 500 | 100; 500,0.0
ETL_deposition_thermal_annealing_temperature_180,0.0
ETL_deposition_thermal_annealing_temperature_-1,0.0
ETL_deposition_reaction_solutions_concentrations_3 wt%,0.0
ETL_deposition_reaction_solutions_concentrations_20 mg/ml | -1 | 0.5 mg/ml,0.0
ETL_deposition_reaction_solutions_concentrations_15.38 vol%,0.0
ETL_deposition_reaction_solutions_concentrations_14.6 vol%; 1 M; 22.2 wt%,0.0
ETL_deposition_reaction_solutions_concentrations_-1,0.0
ETL_deposition_reaction_solutions_compounds_Titanium isopropoxide | TiO2-np,0.0
Perovskite_composition_long_form_Cs0.17FA0.83PbBr0.3I0.7,0.0
Perovskite_composition_long_form_(PEA)2MA3Pb4I13,0.0
Cell_architecture_pin,0.0
stack_PET,0.0
Perovskite_deposition_thermal_annealing_temperature_100 | 100,0.0
stack_LiF,0.0
stack_NiCo2O4,0.0
stack_P3HT,0.0
stack_PCBM-70,0.0
stack_PEIE,0.0
stack_PFN,0.0
Perovskite_composition_long_form_Cs0.15FA0.71MA0.14PbBr0.9I2.1,0.0
stack_PPDI,0.0
stack_PTAA,0.0
stack_Perovskite,0.0
stack_PolyTPD,0.0
stack_TPA-Pc,0.0
stack_ZTO,0.0
ETL_deposition_reaction_solutions_compounds_-1,0.0
ETL_deposition_reaction_solutions_compounds_C60 | BCP,0.0
Perovskite_composition_long_form_Cs0.133FA0.733MA0.133PbBr0.256I0.744,0.0
Perovskite_composition_long_form_Cs0.133FA0.733MA0.133PbBr0.095I0.905,0.0
Perovskite_composition_long_form_Cs0.0664FA0.8668MA0.0664PbBr0.256I0.744,0.0
Perovskite_composition_long_form_Cs0.05MA0.17FA0.76PbBrI2 | BA2PbBr3.2I0.8,0.0
Perovskite_composition_long_form_Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,0.0
Perovskite_composition_long_form_Cs0.05FA0.79MA0.16PbBr0.99I2.01,0.0
Perovskite_composition_long_form_Cs0.05FA0.79MA0.16PbBr0.51I2.49,0.0
Perovskite_composition_long_form_Cs0.05FA0.75MA0.25Rb0.05PbBr0.25I0.75,0.0
Perovskite_composition_long_form_BA2MA4Pb5I16,0.0
Perovskite_composition_long_form_BA2MA3Pb4I13,0.0
Perovskite_composition_long_form_-1,0.0
Perovskite_composition_long_form_(n-C3H7NH3)PbCl3,0.0
Perovskite_composition_long_form_(TEA)2MA3Pb4I14,0.0
Perovskite_composition_long_form_(PEA)xCs0.15FA0.64MA0.2PbBr0.6I2.4,0.0
Perovskite_composition_long_form_(PEA)x(F5PEA)xCs0.15FA0.64MA0.2PbBr0.6I2.4,0.0
Perovskite_deposition_solvents_none >> none,0.0
Perovskite_additives_concentrations_0.21,0.0
Perovskite_deposition_solvents_mixing_ratios_20; 1,0.0
Perovskite_composition_long_form_FAMAPbBr0.45I2.55,0.0
"Perovskite_composition_long_form_CsFAMA,GAPbBr0.51I2.49",0.0
Perovskite_composition_long_form_CsFAPbBrI,0.0
Perovskite_composition_long_form_CsPb0.98I3,0.0
Perovskite_composition_long_form_CsSnBr2I,0.0
Perovskite_composition_long_form_FA0.1MA0.96PbBrI2,0.0
